YearFall,TotalEnroll,FreshmanEnroll,SophomoreEnroll,JuniorEnroll,SeniorEnroll
1929,1721,641,525,290,246
1930,1799,666,502,352,265
1931,2457,613,324,220,164
1932,1452,648,362,265,166
1933,1486,671,375,243,184
1934,1672,543,438,283,224
1935,1734,524,451,352,231
1936,1702,492,401,330,277
1937,1706,521,413,348,238
1938,1750,510,438,322,286
1939,1797,581,414,348,252
1940,1799,545,491,396,355
1941,1763,540,490,403,323
1942,1764,649,428,377,302
1949,2559,672,614,649,591
1950,2456,639,618,573,596
1967,4609,1248,1201,1021,977
1968,4722,1313,1151,1138,957
1969,4681,1264,1199,1076,1046
1970,4834,1374,1190,1145,1023
1971,5066,1444,1300,1203,1035
1972,5331,1314,1498,1358,1103
1973,5309,1170,1386,1457,1224
1974,5430,1316,1299,1384,1335
1975,5480,1365,1435,1314,1240
1976,5679,1348,1578,1452,1203
1977,5802,1190,1600,1552,1357
1978,6088,1571,1448,1517,1552
1979,6076,1552,1488,1387,1649
1980,6067,1585,1563,1446,1473
1981,6178,1370,1716,1501,1591
1982,6153,1508,1484,1556,1605
1983,6226,1578,1550,1466,1632
1984,6361,1871,1648,1474,1209
1985,6362,1635,1735,1572,1273
1986,6525,1883,1505,1668,1327
1987,6423,1680,1748,1456,1411
1988,6405,1689,1585,1697,1325
1989,6381,1688,1566,1547,1451
1990,6476,1712,1468,1636,1660
1991,6454,1525,1709,1598,1622
1992,6515,1526,1542,1895,1552
1993,6586,1471,1574,1695,1846
1994,6518,1590,1510,1710,1708
1995,6631,1519,1668,1745,1699
1996,6752,1516,1635,1858,1743
1997,6766,1455,1633,1810,1868
1998,6834,1588,1571,1868,1807